11:27:46:932 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:933 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:933 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:933 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:938 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:938 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:938 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:939 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:943 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:943 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:943 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:943 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:948 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:948 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:948 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:948 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:27:46:954 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
11:27:46:954 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
